objectId,admin3_code,admin2_code,ACL,admin1_code,name,dem,latitude,population,updatedAt,alternatenames,longitude,feature_class,modification_date,cc2,country_code,feature_code,geonameid,timezone,createdAt,asciiname,elevation
l6vOBGhlsD,21004,210,null,3,Moura,190,38.1401,9360,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Mora,Moura,mo la,mora,Мора,Моура,მორა,莫拉",-7.44856,P,2014-04-06,,PT,PPLA2,2265686,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Moura,
rBNCiVUkCP,100608,1006,null,13,Nadadouro,45,39.41927,1904,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Nadadouro,-9.19091,P,2018-07-05,,PT,PPL,2265591,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Nadadouro,
m7WD1S5PCK,150702,1507,null,19,Montijo,9,38.70675,30011,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Montijo,Montikho,Монтихо",-8.97388,P,2014-04-06,,PT,PPLA2,2265788,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Montijo,
kKajvpCKDR,110709,1107,null,14,Moscavide e Portela,32,38.77929,22488,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),,-9.10222,P,2018-03-15,,PT,PPL,2265726,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Moscavide e Portela,
quiAcCzlYf,101102,1011,null,13,Nazaré,46,39.60289,8993,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Nazare,Nazaré,na zha lei,najale,nazare,Ναζαρέ,Назаре,ナザレ,納扎雷,나자레",-9.06836,P,2018-02-10,,PT,PPLA2,2265552,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Nazare,
nDuhxWfVTU,121206,1212,null,16,Nisa,307,39.51499,7450,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Nisa,Niza",-7.64908,P,2018-06-27,,PT,PPLA2,2265525,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Nisa,
O5Ti7FpcTX,100916,1009,null,13,Monte Real,20,39.8521,5756,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Monte Real,-8.86349,P,2018-02-14,,PT,PPL,2265844,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Monte Real,
IwH7X0eBKE,100917,1009,null,13,Monte Redondo,47,39.8993,4463,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Monte Redondo,-8.83171,P,2018-12-04,,PT,PPL,2265841,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Monte Redondo,
TW2CqijXyn,140802,1408,null,18,Montalvo,68,39.48333,1275,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),,-8.3,P,2018-05-17,,PT,PPL,2266235,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Montalvo,
eLbB6Q8bLz,121302,1213,null,16,Montargil,155,39.07771,2316,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),,-8.17044,P,2018-08-25,,PT,PPL,2266234,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Montargil,
BDtEZq04d4,140208,1402,null,18,Monsanto,143,39.46203,50000,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Monsanto,Монсанто",-8.7118,P,2012-01-17,,PT,PPL,2266249,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Monsanto,
